seed,parameter,rank,flat_index,canonical_index,keras_value,pytorch_value,absolute_difference
42,bn4/gamma,3,26,[26],0.0009930133819580078,0.0009998083114624023,6.794929504394531e-06
42,bn4/gamma,4,187,[187],-0.0009944438934326172,-0.0009998083114624023,5.364418029785156e-06
42,bn4/gamma,5,140,[140],-0.0009951591491699219,-0.0009998679161071777,4.708766937255859e-06
42,bn4/gamma,6,13,[13],-0.0009957551956176758,-0.0009998679161071777,4.112720489501953e-06
42,bn4/gamma,7,246,[246],0.0009959936141967773,0.0009999275207519531,3.933906555175781e-06
42,bn4/gamma,8,118,[118],0.0009969472885131836,0.0009999275207519531,2.9802322387695312e-06
42,bn4/gamma,9,206,[206],-0.0009971857070922852,-0.0009999275207519531,2.7418136596679688e-06
42,bn4/gamma,10,123,[123],-0.0009973645210266113,-0.0009999275207519531,2.562999725341797e-06
42,bn4/beta,1,136,[136],-0.0009423681767657399,-0.0009980701142922044,5.570193752646446e-05
42,bn4/beta,2,246,[246],0.000994419795460999,0.0009998228633776307,5.403067916631699e-06
42,bn4/beta,3,88,[88],-0.0009958173613995314,-0.0009998673340305686,4.049972631037235e-06
42,bn4/beta,4,75,[75],0.0009959414601325989,0.0009998712921515107,3.9298320189118385e-06
42,bn4/beta,5,57,[57],-0.0009967365767806768,-0.0009998965542763472,3.1599774956703186e-06
42,bn4/beta,6,184,[184],0.000996783608570695,0.0009998981840908527,3.114575520157814e-06
42,bn4/beta,7,93,[93],0.0009969332022592425,0.0009999028407037258,2.96963844448328e-06
42,bn4/beta,8,120,[120],0.0009974020067602396,0.0009999178582802415,2.5158515200018883e-06
42,bn4/beta,9,239,[239],-0.0009975392604246736,-0.000999922165647149,2.3829052224755287e-06
42,bn4/beta,10,156,[156],0.0009977524168789387,0.000999928917735815,2.1765008568763733e-06
42,fc128/kernel,1,32429,"[253, 45]",-0.0005793273448944092,-0.0009775403887033463,0.00039821304380893707
42,fc128/kernel,2,26413,"[206, 45]",0.0005876123905181885,0.0009782910346984863,0.00039067864418029785
42,fc128/kernel,3,11787,"[92, 11]",-0.0006869733333587646,-0.0009858161211013794,0.00029884278774261475
42,fc128/kernel,4,8865,"[69, 33]",-0.000690605491399765,-0.000986030325293541,0.00029542483389377594
42,fc128/kernel,5,17697,"[138, 33]",-0.0007013678550720215,-0.0009867176413536072,0.0002853497862815857
42,fc128/kernel,6,32128,"[251, 0]",-0.0007409006357192993,-0.0009890645742416382,0.00024816393852233887
42,fc128/kernel,7,538,"[4, 26]",-0.0007777810096740723,-0.00099104642868042,0.00021326541900634766
42,fc128/kernel,8,3489,"[27, 33]",-0.000778423622250557,-0.000991079956293106,0.00021265633404254913
42,fc128/kernel,9,32545,"[254, 33]",-0.0008064582943916321,-0.0009924694895744324,0.0001860111951828003
42,fc128/kernel,10,3745,"[29, 33]",-0.0008065532892942429,-0.0009924732148647308,0.00018591992557048798
42,fc128/bias,1,33,[33],-0.0009711345774121583,-0.0009990610415115952,2.7926464099437e-05
42,fc128/bias,2,36,[36],-0.0009985094657167792,-0.0009999528992921114,1.4434335753321648e-06
42,fc128/bias,3,45,[45],-0.0009986066725105047,-0.0009999560425058007,1.3493699952960014e-06
42,fc128/bias,4,67,[67],0.0009989382233470678,0.0009999665198847651,1.0282965376973152e-06
42,fc128/bias,5,0,[0],0.000999003299511969,0.0009999687317758799,9.654322639107704e-07
42,fc128/bias,6,26,[26],-0.0009990489343181252,-0.00099997001234442,9.210780262947083e-07
42,fc128/bias,7,79,[79],-0.0009990920079872012,-0.0009999714093282819,8.794013410806656e-07
42,fc128/bias,8,71,[71],0.000999201089143753,0.0009999747853726149,7.736962288618088e-07
42,fc128/bias,9,57,[57],-0.0009993358980864286,-0.0009999790927395225,6.431946530938148e-07
42,fc128/bias,10,103,[103],0.0009994030697271228,0.0009999811882153153,5.781184881925583e-07
42,logits/kernel,1,267,"[33, 3]",-0.000568389892578125,-0.0009765475988388062,0.00040815770626068115
42,logits/kernel,2,107,"[13, 3]",-0.000580761581659317,-0.0009776800870895386,0.00039691850543022156
42,logits/kernel,3,203,"[25, 3]",-0.0007036179304122925,-0.0009868517518043518,0.0002832338213920593
42,logits/kernel,4,387,"[48, 3]",0.0007959157228469849,0.0009919553995132446,0.00019603967666625977
42,logits/kernel,5,459,"[57, 3]",-0.0008041448891162872,-0.0009923577308654785,0.00018821284174919128
42,logits/kernel,6,108,"[13, 4]",-0.000847160816192627,-0.0009943265467882156,0.00014716573059558868
42,logits/kernel,7,663,"[82, 7]",-0.0008701756596565247,-0.0009953007102012634,0.00012512505054473877
42,logits/kernel,8,204,"[25, 4]",-0.0009047538042068481,-0.0009966790676116943,9.192526340484619e-05
42,logits/kernel,9,104,"[13, 0]",-0.0009137541055679321,-0.0009970217943191528,8.32676887512207e-05
42,logits/kernel,10,109,"[13, 5]",-0.0009192539728246629,-0.0009972300613299012,7.79760885052383e-05
42,logits/bias,1,1,[1],0.0009997931774705648,0.000999993528239429,2.0035076886415482e-07
42,logits/bias,2,3,[3],0.0009998485911637545,0.0009999952744692564,1.4668330550193787e-07
42,logits/bias,3,5,[5],-0.000999860349111259,-0.0009999957401305437,1.353910192847252e-07
42,logits/bias,4,6,[6],0.0009999641915783286,0.0009999989997595549,3.480818122625351e-08
42,logits/bias,5,4,[4],0.000999964540824294,0.0009999989997595549,3.4458935260772705e-08
42,logits/bias,6,7,[7],-0.0009999724570661783,-0.0009999993490055203,2.6891939342021942e-08
42,logits/bias,7,0,[0],0.0009999744361266494,0.0009999993490055203,2.491287887096405e-08
42,logits/bias,8,2,[2],-0.000999980722554028,-0.000999999581836164,1.885928213596344e-08
